County,State,Date,Year,Median Household Income,Population,Unemployment Rate,Treatment,log_ZHVI
Alachua,FL,2016-01-01,2016,45294.0,264127.0,4.5,0,12.011257220627513
Alachua,FL,2016-02-01,2016,45294.0,264127.0,4.5,0,12.016238601168482
Alachua,FL,2016-03-01,2016,45294.0,264127.0,4.5,0,12.020953514150692
Alachua,FL,2016-04-01,2016,45294.0,264127.0,4.5,0,12.024833881084684
Alachua,FL,2016-05-01,2016,45294.0,264127.0,4.5,0,12.030027614460396
Alachua,FL,2016-06-01,2016,45294.0,264127.0,4.5,0,12.035585196383787
Alachua,FL,2016-07-01,2016,45294.0,264127.0,4.5,0,12.04091268152329
Alachua,FL,2016-08-01,2016,45294.0,264127.0,4.5,0,12.046007254242186
Alachua,FL,2016-09-01,2016,45294.0,264127.0,4.5,0,12.051956036977622
Alachua,FL,2016-10-01,2016,45294.0,264127.0,4.5,0,12.058500000080315
Alachua,FL,2016-11-01,2016,45294.0,264127.0,4.5,0,12.064462542650318
Alachua,FL,2016-12-01,2016,45294.0,264127.0,4.5,0,12.070528696396353
Alachua,FL,2017-01-01,2017,45230.0,266501.0,4.0,0,12.076710759247382
Alachua,FL,2017-02-01,2017,45230.0,266501.0,4.0,0,12.083644534590967
Alachua,FL,2017-03-01,2017,45230.0,266501.0,4.0,0,12.091032083675945
Alachua,FL,2017-04-01,2017,45230.0,266501.0,4.0,0,12.09928412742868
Alachua,FL,2017-05-01,2017,45230.0,266501.0,4.0,0,12.107508239282144
Alachua,FL,2017-06-01,2017,45230.0,266501.0,4.0,0,12.11569415238915
Alachua,FL,2017-07-01,2017,45230.0,266501.0,4.0,0,12.122335350361968
Alachua,FL,2017-08-01,2017,45230.0,266501.0,4.0,0,12.128447347176154
Alachua,FL,2017-09-01,2017,45230.0,266501.0,4.0,0,12.133769632981377
Alachua,FL,2017-10-01,2017,45230.0,266501.0,4.0,0,12.138808289043169
Alachua,FL,2017-11-01,2017,45230.0,266501.0,4.0,0,12.144082553693968
Alachua,FL,2017-12-01,2017,45230.0,266501.0,4.0,0,12.148756842787915
Alachua,FL,2018-01-01,2018,51026.0,269190.0,3.5,0,12.152889790922808
Alachua,FL,2018-02-01,2018,51026.0,269190.0,3.5,0,12.157477099990855
Alachua,FL,2018-03-01,2018,51026.0,269190.0,3.5,0,12.16375858410254
Alachua,FL,2018-04-01,2018,51026.0,269190.0,3.5,0,12.171532027872708
Alachua,FL,2018-05-01,2018,51026.0,269190.0,3.5,0,12.17934060533192
Alachua,FL,2018-06-01,2018,51026.0,269190.0,3.5,0,12.18523838306412
Alachua,FL,2018-07-01,2018,51026.0,269190.0,3.5,0,12.191674508399622
Alachua,FL,2018-08-01,2018,51026.0,269190.0,3.5,0,12.196517982313365
Alachua,FL,2018-09-01,2018,51026.0,269190.0,3.5,0,12.20167883691311
Alachua,FL,2018-10-01,2018,51026.0,269190.0,3.5,0,12.204752638769088
Alachua,FL,2018-11-01,2018,51026.0,269190.0,3.5,0,12.20821383295606
Alachua,FL,2018-12-01,2018,51026.0,269190.0,3.5,0,12.212054843785564
Alachua,FL,2019-01-01,2019,49880.0,269489.0,3.1,0,12.21436251154128
Alachua,FL,2019-02-01,2019,49880.0,269489.0,3.1,0,12.21506912438854
Alachua,FL,2019-03-01,2019,49880.0,269489.0,3.1,0,12.21421450706881
